unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,facility_type,status,due_date,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,vehicle_type,taxi_company_borough,taxi_pick_up_location,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment,latitude,longitude,location
66283559,2025-09-27T02:10:07.000,,DSNY,Department of Sanitation,Graffiti,Graffiti,Comercial,10472.0,1105 CASTLEHILL AVENUE,CASTLEHILL AVENUE,,,,,ADDRESS,BRONX,,,Open,2025-10-27T02:10:07.000,The graffiti on this property has been scheduled to be removed by the City.,2025-09-27T02:10:07.000,09 BRONX,2038090044.0,BRONX,1025603.0,241666.0,UNKNOWN,Unspecified,BRONX,,,,,,,,40.829895982555406,-73.85057116648184,"
,  
(40.829895982555406, -73.85057116648184)"
66280664,2025-09-27T01:51:35.000,2025-09-27T01:51:35.000,DOT,Department of Transportation,Street Condition,Pothole,,11436.0,150 STREET,150 STREET,ROCKAWAY BOULEVARD,SUTTER AVENUE,,,BLOCKFACE,QUEENS,,,Closed,,The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,2025-09-27T01:51:35.000,12 QUEENS,,QUEENS,,,UNKNOWN,Unspecified,QUEENS,,,,,,,,,,
66287338,2025-09-27T01:36:23.000,,NYPD,New York City Police Department,Drinking,In Public,Street/Sidewalk,10460.0,591 VAN NEST AVENUE,VAN NEST AVENUE,TAYLOR AVENUE,GARFIELD STREET,TAYLOR AVENUE,GARFIELD STREET,ADDRESS,BRONX,VAN NEST AVENUE,,In Progress,,,2025-09-27T02:46:27.000,11 BRONX,2040210029.0,BRONX,1020698.0,246188.0,PHONE,Unspecified,BRONX,,,,,,,,40.84232915383804,-73.86827075544613,"
,  
(40.84232915383804, -73.86827075544613)"
66284496,2025-09-27T01:36:20.000,,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,10456.0,1347 WEBSTER AVENUE,WEBSTER AVENUE,EAST  169 STREET,EAST  170 STREET,EAST  169 STREET,EAST  170 STREET,ADDRESS,BRONX,WEBSTER AVENUE,,In Progress,,,2025-09-27T01:42:24.000,04 BRONX,2028870165.0,BRONX,1009701.0,243556.0,MOBILE,Unspecified,BRONX,Car,,,,,,,40.83514362527446,-73.90802572809687,"
,  
(40.83514362527446, -73.90802572809687)"
66284400,2025-09-27T01:36:09.000,,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,10303.0,75 BRABANT STREET,BRABANT STREET,HARBOR ROAD,LOCKMAN AVENUE,HARBOR ROAD,LOCKMAN AVENUE,ADDRESS,STATEN ISLAND,BRABANT STREET,,In Progress,,,2025-09-27T02:17:09.000,01 STATEN ISLAND,5012430083.0,STATEN ISLAND,939586.0,169434.0,ONLINE,Unspecified,STATEN ISLAND,,,,,,,,40.63162114284165,-74.16091362017902,"
,  
(40.63162114284165, -74.16091362017902)"
66285983,2025-09-27T01:36:01.000,,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10453.0,2095 CRESTON AVENUE,CRESTON AVENUE,EAST  180 STREET,EAST  181 STREET,EAST  180 STREET,EAST  181 STREET,ADDRESS,BRONX,CRESTON AVENUE,,In Progress,,,2025-09-27T02:29:49.000,05 BRONX,2031690043.0,BRONX,1010917.0,250467.0,PHONE,Unspecified,BRONX,,,,,,,,40.85410869350923,-73.90360389367528,"
,  
(40.85410869350923, -73.90360389367528)"
66278381,2025-09-27T01:35:58.000,,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11105.0,22-27 33 STREET,33 STREET,DITMARS BOULEVARD,AMTRAK-CONNECTING RAIL LINE,DITMARS BOULEVARD,AMTRAK-CONNECTING RAIL LINE,ADDRESS,ASTORIA,33 STREET,,In Progress,,,,01 QUEENS,4008320020.0,QUEENS,1009099.0,221573.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.774808089520434,-73.91028258555102,"
,  
(40.774808089520434, -73.91028258555102)"
66281410,2025-09-27T01:35:10.000,,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10002.0,168 DELANCEY STREET,DELANCEY STREET,CLINTON STREET,ATTORNEY STREET,CLINTON STREET,ATTORNEY STREET,ADDRESS,NEW YORK,DELANCEY STREET,,In Progress,,,2025-09-27T02:48:27.000,03 MANHATTAN,1003480075.0,MANHATTAN,988250.0,200743.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.71766899024975,-73.9855703675894,"
,  
(40.71766899024975, -73.9855703675894)"
66281435,2025-09-27T01:35:10.000,,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10026.0,265 WEST  114 STREET,WEST  114 STREET,ADAM CLAYTON POWELL JR BOULEVARD,FREDERICK DOUGLASS BOULEVARD,ADAM CLAYTON POWELL JR BOULEVARD,FREDERICK DOUGLASS BOULEVARD,ADDRESS,NEW YORK,WEST  114 STREET,,In Progress,,,2025-09-27T02:43:21.000,10 MANHATTAN,1018300011.0,MANHATTAN,996586.0,231745.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.80275381673463,-73.95544212929333,"
,  
(40.80275381673463, -73.95544212929333)"
66288857,2025-09-27T01:35:09.000,,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11212.0,329 EAST   91 STREET,EAST   91 STREET,CLARKSON AVENUE,LENOX ROAD,CLARKSON AVENUE,LENOX ROAD,ADDRESS,BROOKLYN,EAST   91 STREET,,In Progress,,,2025-09-27T02:00:52.000,17 BROOKLYN,3046460063.0,BROOKLYN,1005425.0,178769.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.65733098839096,-73.92368221416402,"
,  
(40.65733098839096, -73.92368221416402)"
